iter	Passed	Remaining
1373	29065	76702
1374	29089	76689
1375	29108	76663
1376	29130	76644
1377	29152	76625
1378	29171	76600
1379	29191	76575
1380	29214	76557
1381	29235	76537
1382	29255	76511
1383	29275	76488
1384	29296	76467
1385	29316	76444
1386	29336	76419
1387	29355	76391
1388	29375	76368
1389	29395	76343
1390	29415	76320
1391	29434	76294
1392	29453	76265
1393	29473	76242
1394	29495	76222
1395	29516	76202
1396	29538	76181
1397	29561	76167
1398	29583	76146
1399	29606	76131
1400	29629	76114
1401	29648	76088
1402	29671	76072
1403	29695	76056
1404	29716	76035
1405	29736	76010
1406	29754	75983
1407	29773	75956
1408	29793	75932
1409	29814	75911
1410	29835	75889
1411	29854	75862
1412	29874	75839
1413	29898	75823
1414	29918	75800
1415	29940	75782
1416	29961	75760
1417	29983	75740
1418	30004	75718
1419	30024	75696
1420	30048	75681
1421	30067	75655
1422	30088	75632
1423	30108	75609
1424	30126	75581
1425	30148	75560
1426	30168	75537
1427	30191	75521
1428	30212	75500
1429	30235	75483
1430	30255	75458
1431	30277	75441
1432	30300	75422
1433	30319	75395
1434	30339	75373
1435	30360	75351
1436	30380	75328
1437	30402	75307
1438	30423	75287
1439	30444	75265
1440	30465	75242
1441	30486	75222
1442	30505	75195
1443	30525	75171
1444	30545	75148
1445	30565	75124
1446	30585	75099
1447	30607	75081
1448	30630	75064
1449	30650	75041
1450	30674	75026
1451	30697	75009
1452	30719	74991
1453	30741	74973
1454	30761	74947
1455	30780	74920
1456	30802	74902
1457	30825	74887
1458	30847	74868
1459	30868	74846
1460	30891	74828
1461	30912	74807
1462	30932	74783
1463	30953	74760
1464	30972	74734
1465	30991	74708
1466	31010	74683
1467	31031	74661
1468	31051	74638
1469	31071	74614
1470	31092	74592
1471	31112	74568
1472	31133	74547
1473	31156	74529
1474	31175	74505
1475	31195	74480
1476	31215	74457
1477	31234	74429
1478	31252	74402
1479	31272	74376
1480	31294	74357
1481	31314	74335
1482	31336	74315
1483	31358	74297
1484	31378	74273
1485	31398	74248
1486	31421	74231
1487	31441	74208
1488	31461	74184
1489	31485	74169
1490	31507	74151
1491	31529	74131
1492	31550	74110
1493	31570	74086
1494	31590	74063
1495	31613	74045
1496	31632	74021
1497	31654	74001
1498	31674	73977
1499	31695	73955
1500	31715	73932
1501	31734	73907
1502	31758	73892
1503	31778	73868
1504	31800	73849
1505	31820	73825
1506	31840	73800
1507	31860	73778
1508	31881	73757
1509	31903	73737
1510	31925	73718
1511	31945	73693
1512	31964	73668
1513	31985	73646
1514	32006	73624
1515	32030	73611
1516	32048	73583
1517	32069	73560
1518	32088	73534
1519	32105	73505
1520	32126	73483
1521	32144	73455
1522	32166	73436
1523	32189	73418
1524	32208	73392
1525	32230	73373
1526	32251	73353
1527	32271	73329
1528	32291	73304
1529	32311	73282
1530	32333	73262
1531	32353	73238
1532	32375	73220
1533	32398	73202
1534	32416	73174
1535	32440	73160
1536	32458	73132
1537	32479	73110
1538	32501	73092
1539	32521	73066
1540	32543	73048
1541	32564	73027
1542	32583	73001
1543	32603	72977
1544	32622	72952
1545	32646	72937
1546	32665	72912
1547	32686	72890
1548	32708	72871
1549	32728	72847
1550	32749	72825
1551	32769	72802
1552	32788	72775
1553	32807	72751
1554	32831	72736
1555	32853	72717
1556	32874	72696
1557	32894	72670
1558	32915	72650
1559	32937	72631
1560	32958	72609
1561	32977	72584
1562	32999	72564
1563	33017	72537
1564	33041	72522
1565	33064	72505
1566	33087	72487
1567	33107	72464
1568	33130	72447
1569	33149	72422
1570	33171	72403
1571	33190	72377
1572	33211	72355
1573	33233	72337
1574	33256	72319
1575	33278	72299
1576	33296	72273
1577	33315	72246
1578	33335	72222
1579	33356	72201
1580	33378	72182
1581	33399	72161
1582	33418	72136
1583	33441	72118
1584	33462	72098
1585	33486	72082
1586	33504	72055
1587	33526	72035
1588	33545	72010
1589	33569	71994
1590	33590	71974
1591	33609	71948
1592	33629	71924
1593	33651	71904
1594	33674	71888
1595	33697	71871
1596	33717	71847
1597	33739	71829
1598	33759	71803
1599	33779	71781
1600	33801	71761
1601	33821	71739
1602	33843	71719
1603	33863	71695
1604	33881	71668
1605	33901	71645
1606	33920	71619
1607	33940	71596
1608	33960	71573
1609	33980	71548
1610	34002	71530
1611	34024	71510
1612	34044	71486
1613	34065	71465
1614	34083	71438
1615	34104	71415
1616	34126	71397
1617	34149	71379
1618	34170	71359
1619	34191	71337
1620	34210	71311
1621	34232	71292
1622	34250	71266
1623	34271	71243
1624	34291	71221
1625	34311	71197
1626	34333	71177
1627	34352	71153
1628	34374	71133
1629	34395	71112
1630	34415	71088
1631	34435	71064
1632	34454	71039
1633	34477	71021
1634	34495	70994
1635	34515	70972
1636	34537	70952
1637	34558	70932
1638	34579	70910
1639	34599	70886
1640	34618	70860
1641	34638	70837
1642	34657	70811
1643	34680	70794
1644	34703	70778
1645	34723	70754
1646	34742	70729
1647	34760	70702
1648	34781	70680
1649	34803	70661
1650	34828	70647
1651	34847	70622
1652	34868	70601
1653	34887	70576
1654	34906	70551
1655	34929	70533
1656	34949	70510
1657	34968	70485
1658	34987	70460
1659	35005	70433
1660	35025	70410
